Time,TCP,UDP,Other,Bandwidth (Bytes/sec)
1,0,0,1,92
2,0,0,2,338
3,0,0,3,89
4,0,0,4,179
5,0,0,5,16460
6,0,0,6,10078
7,0,0,7,60
8,0,0,8,60
9,0,0,9,60
10,0,0,10,60
11,0,0,11,60
12,0,0,12,60
13,0,0,13,60
14,0,0,14,60
15,0,0,15,60
16,0,0,16,30126
17,0,0,17,113
18,0,0,18,113
19,0,0,19,113
20,0,0,20,60
21,0,0,21,60
22,0,0,22,60
23,0,0,23,60
24,0,0,24,60
25,0,0,25,60
26,0,0,26,60
27,0,0,27,60
28,0,0,28,26584
29,0,0,29,2918
30,0,0,30,278
31,0,0,31,237
32,0,0,32,278
33,0,0,33,66
34,0,0,34,60
35,0,0,35,1486
36,0,0,36,60
37,0,0,37,89
38,0,0,38,54
39,0,0,39,50
40,0,0,40,60
41,0,0,41,2918
42,0,0,42,60
43,0,0,43,60
44,0,0,44,60
45,0,0,45,60
46,0,0,46,60
47,0,0,47,60
48,0,0,48,60
49,0,0,49,60
50,0,0,50,60
51,0,0,51,60
52,0,0,52,60
53,0,0,53,60
54,0,0,54,60
55,0,0,55,28694
56,0,0,56,66
57,0,0,57,54
58,0,0,58,1956
59,0,0,59,60
60,0,0,60,590
61,0,0,61,60
62,0,0,62,2918
63,0,0,63,60
64,0,0,64,60
65,0,0,65,60
66,0,0,66,60
67,0,0,67,60
68,0,0,68,60
69,0,0,69,66
70,0,0,70,60
71,0,0,71,60
72,0,0,72,60
73,0,0,73,60
74,0,0,74,60
75,0,0,75,34422
76,0,0,76,1486
77,0,0,77,62
78,0,0,78,92
79,0,0,79,89
80,0,0,80,54
81,0,0,81,60
82,0,0,82,60
83,0,0,83,60
84,0,0,84,60
85,0,0,85,60
86,0,0,86,60
87,0,0,87,60
88,0,0,88,60
89,0,0,89,60
90,0,0,90,60
91,0,0,91,60
92,0,0,92,25458
93,0,0,93,10078
94,0,0,94,60
95,0,0,95,66
96,0,0,96,54
97,0,0,97,153
98,0,0,98,802
99,0,0,99,6623
100,0,0,100,74
101,0,0,101,74
102,0,0,102,74
103,0,0,103,74
104,0,0,104,1486
105,0,0,105,383
106,0,0,106,112
107,0,0,107,74
108,0,0,108,116
109,0,0,109,74
110,0,0,110,60
111,0,0,111,60
112,0,0,112,60
113,0,0,113,60
114,0,0,114,60
115,0,0,115,60
116,0,0,116,60
117,0,0,117,60
118,0,0,118,60
119,0,0,119,60
120,0,0,120,35854
121,0,0,121,60
122,0,0,122,5782
123,0,0,123,721
124,0,0,124,54
125,0,0,125,128
126,0,0,126,146
127,0,0,127,799
128,0,0,128,4470
129,0,0,129,60
130,0,0,130,60
131,0,0,131,60
132,0,0,132,60
133,0,0,133,60
134,0,0,134,60
135,0,0,135,60
136,0,0,136,60
137,0,0,137,35854
138,0,0,138,54
139,0,0,139,54
140,0,0,140,54
141,0,0,141,157
142,0,0,142,116
143,0,0,143,54
144,0,0,144,85
145,0,0,145,92
146,0,0,146,60
147,0,0,147,60
148,0,0,148,60
149,0,0,149,60
150,0,0,150,60
151,0,0,151,60
152,0,0,152,60
153,0,0,153,60
154,0,0,154,60
155,0,0,155,60
156,0,0,156,60
157,0,0,157,358
158,0,0,158,89
159,0,0,159,60
160,0,0,160,16866
161,0,0,161,16460
162,0,0,162,2918
163,0,0,163,54
164,0,0,164,54
165,0,0,165,108
166,0,0,166,108
167,0,0,167,108
168,0,0,168,60
169,0,0,169,60
170,0,0,170,60
171,0,0,171,60
172,0,0,172,60
173,0,0,173,60
174,0,0,174,60
175,0,0,175,60
176,0,0,176,60
177,0,0,177,60
178,0,0,178,1546
179,0,0,179,474
180,0,0,180,414
181,0,0,181,398
182,0,0,182,200
183,0,0,183,113
184,0,0,184,74
185,0,0,185,113
186,0,0,186,895
187,0,0,187,1486
188,0,0,188,460
189,0,0,189,74
190,0,0,190,109
191,0,0,191,74
192,0,0,192,62
193,0,0,193,92
194,0,0,194,60
